Unnamed: 0,ceramic,Bi,La,Sr,Ca,Ti,Mg,Mn,Zr,Hf,T,thick,Eenergy_density,efficiency,A_site_Molar_volume,A_site_Ionization_energy,A_site_Electron_affinity,A_site_Row,A_site_Atomic_mass,A_site_Number,A_site_Ionic_radii,A_site_Bond_length,A_site_Atomic_radius,A_site_Van_der_Waals_radius,A_site_X,B_site_Molar_volume,B_site_Ionization_energy,B_site_Electron_affinity,B_site_Row,B_site_Atomic_mass,B_site_Number,B_site_Ionic_radii,B_site_Bond_length,B_site_Atomic_radius,B_site_Van_der_Waals_radius,B_site_X,Entropy,Tolerance_factor,Octahedral_factor
20,,0.9,0.1,0.0,0.0,0.25,0.25,0.25,0.25,0.0,600,160,8.85,42.81567,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3005000000000004,1.4271260000000001,-0.0215583,0.8,10.91670225,4.95,0.1845,0.41414999999999996,0.2925,0.40599999999999997,0.28650000000000003,1.7113773345113388,0.7593284159508125,0.14642857142857144
21,,0.9,0.1,0.0,0.0,0.25,0.25,0.25,0.25,0.0,650,160,1.4,82.84024,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3005000000000004,1.4271260000000001,-0.0215583,0.8,10.91670225,4.95,0.1845,0.41414999999999996,0.2925,0.40599999999999997,0.28650000000000003,1.7113773345113388,0.7593284159508125,0.14642857142857144
22,Bi-TiMgMn-O,1.0,0.0,0.0,0.0,0.45,0.45,0.05,0.0,0.0,600,160,30.83,34.39697,5.3275,1.821379,0.2355905325,1.5,52.2451,20.75,0.2925,0.515,0.4,0.5175,0.505,2.2911,1.37703242,-0.036200949999999996,0.6700000000000002,7.04486045,3.31,0.17709999999999998,0.37906999999999996,0.275,0.3661,0.2720000000000001,0.868443540273694,0.7638878837882646,0.14055555555555554
23,,1.0,0.0,0.0,0.0,0.45,0.45,0.1,0.0,0.0,550,160,15.63,40.77746,5.3275,1.821379,0.2355905325,1.5,52.2451,20.75,0.2925,0.515,0.4,0.5175,0.505,2.3646000000000003,1.4513728000000001,-0.041400950000000006,0.7100000000000001,7.594240900000001,3.56,0.1868,0.39697,0.28900000000000003,0.3866,0.28750000000000003,0.9489154358953991,0.7587664347471074,0.14825396825396825
24,,1.0,0.0,0.0,0.0,0.45,0.45,0.1,0.0,0.0,600,160,16.94,37.71988,5.3275,1.821379,0.2355905325,1.5,52.2451,20.75,0.2925,0.515,0.4,0.5175,0.505,2.3646000000000003,1.4513728000000001,-0.041400950000000006,0.7100000000000001,7.594240900000001,3.56,0.1868,0.39697,0.28900000000000003,0.3866,0.28750000000000003,0.9489154358953991,0.7587664347471074,0.14825396825396825
25,,1.0,0.0,0.0,0.0,0.45,0.45,0.15,0.0,0.0,600,160,45.92,36.03547,5.3275,1.821379,0.2355905325,1.5,52.2451,20.75,0.2925,0.515,0.4,0.5175,0.505,2.4381,1.52571318,-0.046600949999999995,0.7500000000000001,8.14362135,3.81,0.19649999999999998,0.41486999999999996,0.30300000000000005,0.40709999999999996,0.30300000000000005,1.0032249243288767,0.7537132013677411,0.15595238095238093
26,BiLa-TiMg-O,0.95,0.05,0.0,0.0,0.5,0.5,0.0,0.0,0.0,600,160,34.97,35.07171,5.340999999999999,1.8000213,0.230780333375,1.4999999999999998,51.369163375,20.424999999999997,0.29184,0.5164,0.404375,0.5219999999999999,0.49349999999999994,2.464,1.4474356,-0.0344455,0.7,7.2172,3.4,0.186,0.4013,0.29,0.384,0.28500000000000003,0.8916624239058178,0.7588634767057619,0.14761904761904762
27,,0.9,0.1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,550,160,26.24,48.85496,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.464,1.4474356,-0.0344455,0.7,7.2172,3.4,0.186,0.4013,0.29,0.384,0.28500000000000003,1.0182301539513934,0.7585407308720253,0.14761904761904762
28,,0.9,0.1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,600,160,21.6,50.85943,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.464,1.4474356,-0.0344455,0.7,7.2172,3.4,0.186,0.4013,0.29,0.384,0.28500000000000003,1.0182301539513934,0.7585407308720253,0.14761904761904762
29,,0.85,0.15,0.0,0.0,0.5,0.5,0.0,0.0,0.0,600,160,37.53,49.23904,5.367999999999999,1.7573059,0.221159935125,1.5,49.617290125000004,19.775,0.29052,0.5192,0.413125,0.5309999999999999,0.4705,2.464,1.4474356,-0.0344455,0.7,7.2172,3.4,0.186,0.4013,0.29,0.384,0.28500000000000003,1.115856268365936,0.7582179850382889,0.14761904761904762
